phase,device,dtype,impl,sdpa_backend,sdpa_backend_honored,B,H,N,D,causal,chunk,status,note,latency_ms_median,latency_ms_min,latency_ms_max,warmup_iters,timed_iters,peak_mem_bytes,peak_mem_method,flops_fwd_analytic,flops_fwd_executed,flops_bwd_analytic,hbm_bytes_analytic,hbm_model,arithmetic_intensity_flop_per_byte,achieved_gflop_s,implied_gb_s
sweep,mps,float16,naive,MATH,,4,32,512,64,False,,ok,,11.24995800000761,10.774583000056737,12.312082999983431,4,60,360710144,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",8589934592.0,8589934592.0,21474836480.0,301989888.0,"naive: 4*B*H*N*D*e (Q,K,V,O) + 4*B*H*N^2*e (S,P written and read)",28.444444444444443,763.5525921069385,26.843645816259556
sweep,mps,float16,chunked,MATH,,4,32,512,64,False,1024,ok,,20.064250000018546,19.73941599999307,20.745041000054698,4,36,269484032,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",8589934592.0,8589934592.0,21474836480.0,327155712.0,chunked: 4*B*H*N^2*e (same score traffic as naive) + Q re-read and fp32 acc read/written once per tile (1 tiles),26.256410256410255,428.1213896353993,16.305404488066966
sweep,mps,float16,sdpa,MATH requested / NOT HONORED: whatever kernel this device picked,False,4,32,512,64,False,,ok,,2.892208499986282,2.847624999958498,3.7631669999882433,21,100,33554432,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",8589934592.0,8589934592.0,21474836480.0,33554432.0,fused ideal: 4*B*H*N*D*e -- S and P never reach memory (ASSUMED: backend unknown on this device),256.0,2970.0260517320044,11.601664264578142
sweep,mps,float16,naive,MATH,,4,32,512,64,True,,ok,,11.632812500010914,11.425583000004735,11.850166999920475,4,60,360711168,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",4303355904.0,8589934592.0,10758389760.0,301989888.0,"naive: 4*B*H*N*D*e (Q,K,V,O) + 4*B*H*N^2*e (S,P written and read)",14.25,738.4228527702944,25.960178417705666
sweep,mps,float16,chunked,MATH,,4,32,512,64,True,1024,ok,,20.945374999996602,20.54295900006764,21.879499999954533,4,37,269485056,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",4303355904.0,8589934592.0,10758389760.0,327155712.0,chunked: 4*B*H*N^2*e (same score traffic as naive) + Q re-read and fp32 acc read/written once per tile (1 tiles),13.153846153846153,410.111281941784,15.619472652079663
sweep,mps,float16,sdpa,MATH requested / NOT HONORED: whatever kernel this device picked,False,4,32,512,64,True,,ok,,1.7114999999989777,1.6719999999850188,2.774708000060855,21,100,33554432,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",4303355904.0,8589934592.0,10758389760.0,33554432.0,fused ideal: 4*B*H*N*D*e -- S and P never reach memory (ASSUMED: backend unknown on this device),128.25,5018.950974002413,19.605277242196927
sweep,mps,float16,naive,MATH,,4,32,1024,64,False,,ok,,43.1480830000055,42.85470900003929,45.523916999968606,4,37,1409286144,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",34359738368.0,34359738368.0,85899345920.0,1140850688.0,"naive: 4*B*H*N*D*e (Q,K,V,O) + 4*B*H*N^2*e (S,P written and read)",30.11764705882353,796.3213190258214,26.440356295779225
sweep,mps,float16,chunked,MATH,,4,32,1024,64,False,1024,ok,,74.68868749998592,73.84224999998423,77.57708300005106,4,24,941621248,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",34359738368.0,34359738368.0,85899345920.0,1191182336.0,chunked: 4*B*H*N^2*e (same score traffic as naive) + Q re-read and fp32 acc read/written once per tile (1 tiles),28.845070422535212,460.0393917486698,15.948631256911893
sweep,mps,float16,sdpa,MATH requested / NOT HONORED: whatever kernel this device picked,False,4,32,1024,64,False,,ok,,10.565875000054348,10.509625000054257,11.755166999932953,21,100,67108864,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",34359738368.0,34359738368.0,85899345920.0,67108864.0,fused ideal: 4*B*H*N*D*e -- S and P never reach memory (ASSUMED: backend unknown on this device),512.0,3251.953895708899,6.351472452556443
sweep,mps,float16,naive,MATH,,4,32,1024,64,True,,ok,,45.96335399997997,45.47100000002047,48.69629199993142,4,32,1409287168,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",17196646400.0,34359738368.0,42991616000.0,1140850688.0,"naive: 4*B*H*N*D*e (Q,K,V,O) + 4*B*H*N^2*e (S,P written and read)",15.073529411764707,747.5463685268697,24.82087551749372
sweep,mps,float16,chunked,MATH,,4,32,1024,64,True,1024,ok,,78.58729149995725,76.51683300002787,81.27391700008957,4,24,941622272,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",17196646400.0,34359738368.0,42991616000.0,1191182336.0,chunked: 4*B*H*N^2*e (same score traffic as naive) + Q re-read and fp32 acc read/written once per tile (1 tiles),14.43661971830986,437.2174904134302,15.157442294606222
sweep,mps,float16,sdpa,MATH requested / NOT HONORED: whatever kernel this device picked,False,4,32,1024,64,True,,ok,,5.666916499990293,5.607708999946226,6.36995799993656,21,100,67108864,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",17196646400.0,34359738368.0,42991616000.0,67108864.0,fused ideal: 4*B*H*N*D*e -- S and P never reach memory (ASSUMED: backend unknown on this device),256.25,6063.215924931814,11.842218603382449
sweep,mps,float16,naive,MATH,,4,32,2048,64,False,,ok,,174.1575839999996,171.91375000004427,176.92420899993522,4,8,5469372416,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",137438953472.0,137438953472.0,343597383680.0,4429185024.0,"naive: 4*B*H*N*D*e (Q,K,V,O) + 4*B*H*N^2*e (S,P written and read)",31.03030303030303,789.1643321832045,25.432053673872797
sweep,mps,float16,chunked,MATH,,4,32,2048,64,False,1024,ok,,294.58289600000853,292.56183299992244,298.8164170000118,4,6,2319450112,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",137438953472.0,137438953472.0,343597383680.0,4697620480.0,chunked: 4*B*H*N^2*e (same score traffic as naive) + Q re-read and fp32 acc read/written once per tile (2 tiles),29.257142857142856,466.55442436819555,15.94668442664731
sweep,mps,float16,sdpa,MATH requested / NOT HONORED: whatever kernel this device picked,False,4,32,2048,64,False,,ok,,41.09952100003511,41.01166700002068,42.126166999992165,4,48,134217728,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",137438953472.0,137438953472.0,343597383680.0,134217728.0,fused ideal: 4*B*H*N*D*e -- S and P never reach memory (ASSUMED: backend unknown on this device),1024.0,3344.0524397323898,3.265676210676162
sweep,mps,float16,naive,MATH,,4,32,2048,64,True,,ok,,186.7933329999687,184.573333000003,191.54516699995838,4,7,5502927872,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",68753031168.0,137438953472.0,171882577920.0,4429185024.0,"naive: 4*B*H*N*D*e (Q,K,V,O) + 4*B*H*N^2*e (S,P written and read)",15.522727272727273,735.7808293512436,23.711686883389685
sweep,mps,float16,chunked,MATH,,4,32,2048,64,True,1024,ok,,305.97983299992393,304.76295799996933,311.2880840000116,4,5,1883244544,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",68753031168.0,137438953472.0,171882577920.0,4697620480.0,chunked: 4*B*H*N^2*e (same score traffic as naive) + Q re-read and fp32 acc read/written once per tile (2 tiles),14.635714285714286,449.1765098519881,15.352712739081625
sweep,mps,float16,sdpa,MATH requested / NOT HONORED: whatever kernel this device picked,False,4,32,2048,64,True,,ok,,21.152874999984306,21.088625000061256,21.86379099998703,4,93,134217728,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",68753031168.0,137438953472.0,171882577920.0,134217728.0,fused ideal: 4*B*H*N*D*e -- S and P never reach memory (ASSUMED: backend unknown on this device),512.25,6497.412454434774,6.345129350033959
sweep,mps,float16,naive,MATH,,4,32,4096,64,False,,ok,,46545.494458999885,45120.59854200015,64853.507457999964,2,3,21743271936,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",549755813888.0,549755813888.0,1374389534720.0,17448304640.0,"naive: 4*B*H*N*D*e (Q,K,V,O) + 4*B*H*N^2*e (S,P written and read)",31.50769230769231,11.811149935731342,0.37486559854616075
sweep,mps,float16,chunked,MATH,,4,32,4096,64,False,1024,ok,,1226.6307500001403,1202.3550839999189,1232.4637090000579,2,3,3766484992,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",549755813888.0,549755813888.0,1374389534720.0,18656264192.0,chunked: 4*B*H*N^2*e (same score traffic as naive) + Q re-read and fp32 acc read/written once per tile (4 tiles),29.467625899280577,448.1836232198949,15.209356354386081
sweep,mps,float16,sdpa,MATH requested / NOT HONORED: whatever kernel this device picked,False,4,32,4096,64,False,,ok,,164.3266250000579,162.8262500000801,166.4215000000695,4,10,268435456,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",549755813888.0,549755813888.0,1374389534720.0,268435456.0,fused ideal: 4*B*H*N*D*e -- S and P never reach memory (ASSUMED: backend unknown on this device),2048.0,3345.506632828407,1.6335481605607456
sweep,mps,float16,naive,MATH,,4,32,4096,64,True,,ok,,4372.27870799984,4178.319667000096,4668.543166999825,2,3,21743272960,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",274945015808.0,549755813888.0,687362539520.0,17448304640.0,"naive: 4*B*H*N*D*e (Q,K,V,O) + 4*B*H*N^2*e (S,P written and read)",15.757692307692308,125.73668116859218,3.9906661503703575
sweep,mps,float16,chunked,MATH,,4,32,4096,64,True,1024,ok,,1315.1393750001716,1242.201457999954,1322.2541249999722,2,3,3768586240,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",274945015808.0,549755813888.0,687362539520.0,18656264192.0,chunked: 4*B*H*N^2*e (same score traffic as naive) + Q re-read and fp32 acc read/written once per tile (4 tiles),14.737410071942445,418.02095225681177,14.185769620043173
sweep,mps,float16,sdpa,MATH requested / NOT HONORED: whatever kernel this device picked,False,4,32,4096,64,True,,ok,,86.8489160000081,84.33712500004731,88.22525000005044,4,19,268435456,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",274945015808.0,549755813888.0,687362539520.0,268435456.0,fused ideal: 4*B*H*N*D*e -- S and P never reach memory (ASSUMED: backend unknown on this device),1024.25,6330.02505049054,3.090832544184834
sweep,mps,float16,naive,MATH,,4,32,8192,64,False,,OOM,RuntimeError: Invalid buffer size: 16.00 GiB,,,,,,,,2199023255552.0,2199023255552.0,5497558138880.0,69256347648.0,"naive: 4*B*H*N*D*e (Q,K,V,O) + 4*B*H*N^2*e (S,P written and read)",31.751937984496124,,
sweep,mps,float16,chunked,MATH,,4,32,8192,64,False,1024,ok,,4785.493583000061,4692.6174590000755,4791.964958000108,2,3,9277800448,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",2199023255552.0,2199023255552.0,5497558138880.0,74356621312.0,chunked: 4*B*H*N^2*e (same score traffic as naive) + Q re-read and fp32 acc read/written once per tile (8 tiles),29.574007220216608,459.51858829437947,15.537921015325086
sweep,mps,float16,sdpa,MATH requested / NOT HONORED: whatever kernel this device picked,False,4,32,8192,64,False,,ok,,719.9249170000712,718.5045420001188,723.0538750000051,4,3,536870912,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",2199023255552.0,2199023255552.0,5497558138880.0,536870912.0,fused ideal: 4*B*H*N*D*e -- S and P never reach memory (ASSUMED: backend unknown on this device),4096.0,3054.517497068076,0.7457318108076357
sweep,mps,float16,naive,MATH,,4,32,8192,64,True,,OOM,RuntimeError: Invalid buffer size: 16.00 GiB,,,,,,,,1099645845504.0,2199023255552.0,2749114613760.0,69256347648.0,"naive: 4*B*H*N*D*e (Q,K,V,O) + 4*B*H*N^2*e (S,P written and read)",15.877906976744185,,
sweep,mps,float16,chunked,MATH,,4,32,8192,64,True,1024,ok,,5244.255750000093,5158.858000000009,5254.542000000129,2,3,7537168384,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",1099645845504.0,2199023255552.0,2749114613760.0,74356621312.0,chunked: 4*B*H*N^2*e (same score traffic as naive) + Q re-read and fp32 acc read/written once per tile (8 tiles),14.788808664259928,419.3203688725442,14.178679465050628
sweep,mps,float16,sdpa,MATH requested / NOT HONORED: whatever kernel this device picked,False,4,32,8192,64,True,,ok,,407.32725000020764,357.8412499998649,423.3587090000128,4,5,536870912,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",1099645845504.0,2199023255552.0,2749114613760.0,536870912.0,fused ideal: 4*B*H*N*D*e -- S and P never reach memory (ASSUMED: backend unknown on this device),2048.25,5398.664723636533,1.3180333797940755
sweep,mps,float16,naive,MATH,,4,32,16384,64,False,,OOM,RuntimeError: Invalid buffer size: 64.00 GiB,,,,,,,,8796093022208.0,8796093022208.0,21990232555520.0,275951648768.0,"naive: 4*B*H*N*D*e (Q,K,V,O) + 4*B*H*N^2*e (S,P written and read)",31.875486381322958,,
sweep,mps,float16,chunked,MATH,,4,32,16384,64,False,1024,ok,,32669.47541700006,32669.47541700006,32669.47541700006,1,1,26600275968,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",8796093022208.0,8796093022208.0,21990232555520.0,296889614336.0,chunked: 4*B*H*N^2*e (same score traffic as naive) + Q re-read and fp32 acc read/written once per tile (16 tiles),29.62748643761302,269.2450034759609,9.087676203747948
sweep,mps,float16,sdpa,MATH requested / NOT HONORED: whatever kernel this device picked,False,4,32,16384,64,False,,ok,,2913.874541000041,2820.6989580000936,2965.869915999974,2,3,1073741824,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",8796093022208.0,8796093022208.0,21990232555520.0,1073741824.0,fused ideal: 4*B*H*N*D*e -- S and P never reach memory (ASSUMED: backend unknown on this device),8192.0,3018.6931175112236,0.3684928121961943
sweep,mps,float16,naive,MATH,,4,32,16384,64,True,,OOM,RuntimeError: Invalid buffer size: 64.00 GiB,,,,,,,,4398314946560.0,8796093022208.0,10995787366400.0,275951648768.0,"naive: 4*B*H*N*D*e (Q,K,V,O) + 4*B*H*N^2*e (S,P written and read)",15.938715953307392,,
sweep,mps,float16,chunked,MATH,,4,32,16384,64,True,1024,ok,,33487.04541699999,33487.04541699999,33487.04541699999,1,1,22842179584,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",4398314946560.0,8796093022208.0,10995787366400.0,296889614336.0,chunked: 4*B*H*N^2*e (same score traffic as naive) + Q re-read and fp32 acc read/written once per tile (16 tiles),14.814647377938517,262.67151707993287,8.865804989331233
sweep,mps,float16,sdpa,MATH requested / NOT HONORED: whatever kernel this device picked,False,4,32,16384,64,True,,ok,,1441.9557500000337,1393.5860829999456,1478.388207999842,2,3,1073741824,"mps allocator, torch.mps.current_allocated_memory sampled every 1 ms (sampled peak, not an exact high-water mark)",4398314946560.0,8796093022208.0,10995787366400.0,1073741824.0,fused ideal: 4*B*H*N*D*e -- S and P never reach memory (ASSUMED: backend unknown on this device),4096.25,6100.113004305295,0.7446427007208613
backend_probe,cpu,float32,sdpa,EFFICIENT_ATTENTION,True,4,32,0,64,False,,unavailable,RuntimeError: No viable backend for scaled_dot_product_attention was found. This is likely due to turning off both the math kernel and the fused kernels.,,,,,,,,,,,,,,,
backend_probe,cpu,float32,sdpa,CUDNN_ATTENTION,True,4,32,0,64,False,,unavailable,RuntimeError: No viable backend for scaled_dot_product_attention was found. This is likely due to turning off both the math kernel and the fused kernels.,,,,,,,,,,,,,,,
